Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
31,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1521,10,furniture/equipment,good
24,female,skilled,free,< 100 DM,0 <= ... < 200 DM,5743,24,education,good
26,female,unskilled and resident,rent,< 100 DM,< 0 DM,3599,21,furniture/equipment,good
25,male,skilled,rent,500 <= ... < 1000 DM,0 <= ... < 200 DM,3213,18,radio/television,good
33,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,4439,18,business,good
37,male,unskilled and resident,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,3949,10,car (new),good
43,female,unskilled and resident,own,< 100 DM,no checking account,1459,15,radio/television,good
23,male,skilled,own,< 100 DM,0 <= ... < 200 DM,882,13,radio/television,good
23,female,unskilled and non-resident,rent,500 <= ... < 1000 DM,0 <= ... < 200 DM,3758,24,radio/television,good
34,male,unskilled and resident,own,100 <= ... < 500 DM,no checking account,1743,6,business,good
32,male,skilled,free,>= 1000 DM,0 <= ... < 200 DM,1136,9,education,bad
23,female,skilled,rent,< 100 DM,no checking account,1236,9,domestic appliances,good
29,female,skilled,own,< 100 DM,0 <= ... < 200 DM,959,9,furniture/equipment,bad
38,male,highly qualified,own,unknown/ no savings account,no checking account,3229,18,car (used),good
28,male,skilled,rent,< 100 DM,< 0 DM,6199,12,radio/television,bad
46,male,skilled,free,500 <= ... < 1000 DM,no checking account,727,10,education,good
23,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1246,24,car (new),bad
49,male,skilled,own,unknown/ no savings account,no checking account,2331,12,radio/television,good
26,male,highly qualified,own,< 100 DM,no checking account,4463,36,radio/television,bad
28,male,skilled,own,< 100 DM,no checking account,776,12,radio/television,good
23,female,skilled,rent,< 100 DM,< 0 DM,2406,30,furniture/equipment,bad
61,male,skilled,free,unknown/ no savings account,0 <= ... < 200 DM,1239,18,education,good
37,male,highly qualified,own,unknown/ no savings account,>= 200 DM / salary assignments for at least 1 year,3399,12,radio/television,good
36,female,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,2247,12,car (new),good
21,male,skilled,rent,< 100 DM,no checking account,1766,6,furniture/equipment,good
25,male,unskilled and non-resident,own,< 100 DM,< 0 DM,2473,18,furniture/equipment,bad
36,male,skilled,own,< 100 DM,no checking account,1542,12,business,good
27,male,skilled,own,< 100 DM,no checking account,3850,18,car (used),good
22,female,skilled,rent,< 100 DM,< 0 DM,3650,18,furniture/equipment,good
42,male,skilled,own,< 100 DM,< 0 DM,3446,36,furniture/equipment,bad
40,female,skilled,rent,< 100 DM,0 <= ... < 200 DM,3001,18,furniture/equipment,good
36,male,skilled,own,unknown/ no savings account,no checking account,3079,36,car (new),good
33,male,skilled,own,< 100 DM,no checking account,6070,18,radio/television,good
23,female,skilled,rent,< 100 DM,no checking account,2146,10,furniture/equipment,good
63,male,highly qualified,free,unknown/ no savings account,no checking account,13756,60,car (new),good
60,female,highly qualified,free,100 <= ... < 500 DM,0 <= ... < 200 DM,14782,60,others,bad
37,female,skilled,rent,< 100 DM,< 0 DM,7685,48,business,bad
34,male,skilled,own,< 100 DM,no checking account,2320,18,radio/television,good
36,male,skilled,free,unknown/ no savings account,no checking account,846,7,radio/television,good
57,male,highly qualified,free,< 100 DM,0 <= ... < 200 DM,14318,36,car (new),bad
52,female,unskilled and resident,own,100 <= ... < 500 DM,no checking account,362,6,car (new),good
39,male,skilled,own,unknown/ no savings account,< 0 DM,2212,20,furniture/equipment,good
38,female,highly qualified,free,< 100 DM,0 <= ... < 200 DM,12976,18,car (used),bad
25,female,skilled,rent,unknown/ no savings account,no checking account,1283,22,car (new),good
26,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1330,12,car (new),good
26,male,unskilled and resident,own,100 <= ... < 500 DM,no checking account,4272,30,business,good
25,female,skilled,own,< 100 DM,no checking account,2238,18,radio/television,good
21,female,skilled,rent,unknown/ no savings account,no checking account,1126,18,radio/television,good
40,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,7374,18,furniture/equipment,good
27,male,skilled,own,500 <= ... < 1000 DM,0 <= ... < 200 DM,2326,15,business,good
27,female,skilled,own,< 100 DM,no checking account,1449,9,business,good
30,male,highly qualified,own,< 100 DM,no checking account,1820,18,car (new),good
19,female,unskilled and resident,rent,>= 1000 DM,0 <= ... < 200 DM,983,12,furniture/equipment,good
39,male,highly qualified,free,< 100 DM,< 0 DM,3249,36,car (new),good
31,female,skilled,own,< 100 DM,< 0 DM,1957,6,radio/television,good
31,male,highly qualified,own,< 100 DM,no checking account,2406,9,furniture/equipment,good
32,male,skilled,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,11760,39,education,good
55,female,highly qualified,free,< 100 DM,< 0 DM,2578,12,furniture/equipment,good
46,male,skilled,own,< 100 DM,< 0 DM,2348,36,furniture/equipment,good
46,male,skilled,rent,< 100 DM,0 <= ... < 200 DM,1223,12,car (new),bad
43,female,unskilled and resident,own,>= 1000 DM,no checking account,1516,24,radio/television,good
39,male,skilled,own,< 100 DM,no checking account,1473,18,radio/television,good
28,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,1887,18,business,good
27,male,skilled,own,< 100 DM,no checking account,8648,24,business,bad
27,male,unskilled and resident,own,< 100 DM,no checking account,802,14,car (new),good
43,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,2899,18,car (new),good
22,male,skilled,own,< 100 DM,0 <= ... < 200 DM,2039,24,radio/television,bad
43,male,skilled,own,unknown/ no savings account,no checking account,2197,24,car (used),good
27,male,skilled,own,< 100 DM,< 0 DM,1053,15,radio/television,good
26,male,highly qualified,own,500 <= ... < 1000 DM,no checking account,3235,24,radio/television,good
28,male,skilled,own,500 <= ... < 1000 DM,>= 200 DM / salary assignments for at least 1 year,939,12,car (new),bad
20,female,skilled,own,< 100 DM,0 <= ... < 200 DM,1967,24,radio/television,good
35,male,highly qualified,own,< 100 DM,no checking account,7253,33,car (used),good
42,male,highly qualified,own,< 100 DM,no checking account,2292,12,business,bad
40,male,unskilled and resident,rent,500 <= ... < 1000 DM,no checking account,1597,10,car (new),good
35,female,skilled,own,unknown/ no savings account,< 0 DM,1381,24,car (new),bad
35,male,skilled,own,< 100 DM,no checking account,5842,36,car (used),good
33,male,unskilled and resident,own,< 100 DM,< 0 DM,2579,12,car (new),bad
23,female,skilled,rent,unknown/ no savings account,< 0 DM,8471,18,education,good
31,female,highly qualified,own,500 <= ... < 1000 DM,no checking account,2782,21,car (new),good
33,female,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,1042,18,car (new),bad
20,female,skilled,rent,>= 1000 DM,no checking account,3186,15,car (new),good
30,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,2028,12,car (used),good
47,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,958,12,car (new),good
34,male,highly qualified,own,100 <= ... < 500 DM,no checking account,1591,21,furniture/equipment,good
25,female,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,2762,12,furniture/equipment,bad
21,male,skilled,rent,< 100 DM,0 <= ... < 200 DM,2779,18,car (used),good
29,male,skilled,own,< 100 DM,no checking account,2743,28,radio/television,good
46,male,skilled,own,>= 1000 DM,no checking account,1149,18,radio/television,good
20,male,skilled,own,< 100 DM,no checking account,1313,9,furniture/equipment,good
55,female,unskilled and non-resident,free,< 100 DM,< 0 DM,1190,18,repairs,bad
74,male,unskilled and resident,own,< 100 DM,no checking account,3448,5,business,good
29,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,11328,24,others,bad
36,male,highly qualified,free,< 100 DM,< 0 DM,1872,6,furniture/equipment,good
33,male,skilled,own,< 100 DM,no checking account,2058,24,repairs,good
25,male,skilled,own,< 100 DM,< 0 DM,2136,9,furniture/equipment,good
25,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,1484,12,radio/television,bad
23,male,unskilled and resident,rent,500 <= ... < 1000 DM,no checking account,660,6,repairs,good
37,female,skilled,own,>= 1000 DM,no checking account,1287,24,car (new),good
65,male,unskilled and non-resident,own,< 100 DM,< 0 DM,3394,42,repairs,good
26,female,unskilled and non-resident,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,609,12,business,bad
39,male,highly qualified,own,< 100 DM,no checking account,1884,12,car (new),good
30,female,skilled,own,< 100 DM,< 0 DM,1620,12,furniture/equipment,good
29,male,skilled,own,< 100 DM,0 <= ... < 200 DM,2629,20,others,good
41,male,unskilled and resident,own,< 100 DM,no checking account,719,12,education,bad
30,female,highly qualified,own,< 100 DM,0 <= ... < 200 DM,5096,48,furniture/equipment,bad
41,female,unskilled and resident,rent,unknown/ no savings account,no checking account,1244,9,education,good
34,female,skilled,own,< 100 DM,< 0 DM,1842,36,car (new),bad
35,male,skilled,own,< 100 DM,0 <= ... < 200 DM,2576,7,radio/television,good
55,female,highly qualified,own,unknown/ no savings account,>= 200 DM / salary assignments for at least 1 year,1424,12,furniture/equipment,good
61,male,skilled,own,>= 1000 DM,0 <= ... < 200 DM,1512,15,repairs,bad
30,male,highly qualified,own,unknown/ no savings account,no checking account,11054,36,car (used),good
29,female,skilled,own,< 100 DM,no checking account,518,6,radio/television,good
34,male,skilled,own,< 100 DM,no checking account,2759,12,furniture/equipment,good
35,male,highly qualified,own,< 100 DM,no checking account,2670,24,car (used),good
31,male,skilled,own,< 100 DM,< 0 DM,4817,24,car (new),bad
29,female,highly qualified,own,< 100 DM,no checking account,2679,24,car (used),good
36,male,skilled,rent,< 100 DM,< 0 DM,3905,11,car (new),good
35,male,skilled,free,< 100 DM,< 0 DM,3386,12,car (used),bad
27,female,skilled,own,< 100 DM,< 0 DM,343,6,domestic appliances,good
32,male,skilled,own,< 100 DM,no checking account,4594,18,radio/television,good
37,male,skilled,own,< 100 DM,< 0 DM,3620,36,furniture/equipment,good
36,male,skilled,own,< 100 DM,< 0 DM,1721,15,car (new),good
34,female,highly qualified,rent,< 100 DM,0 <= ... < 200 DM,3017,12,furniture/equipment,good
38,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,754,12,retraining,good
34,male,skilled,own,< 100 DM,no checking account,1950,18,business,good
63,male,skilled,own,< 100 DM,< 0 DM,2924,24,car (used),good
29,female,unskilled and resident,rent,< 100 DM,< 0 DM,1659,24,radio/television,bad
32,male,skilled,own,unknown/ no savings account,no checking account,7238,48,radio/television,good
26,female,skilled,own,< 100 DM,no checking account,2764,33,business,good
35,male,unskilled and resident,own,< 100 DM,no checking account,4679,24,car (used),good
22,male,skilled,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,3092,24,radio/television,bad
23,female,skilled,own,< 100 DM,< 0 DM,448,6,education,bad
28,male,unskilled and resident,own,< 100 DM,< 0 DM,654,9,car (new),bad
36,male,highly qualified,own,unknown/ no savings account,no checking account,1238,6,retraining,good
33,male,skilled,own,< 100 DM,0 <= ... < 200 DM,1245,18,radio/television,bad
26,female,skilled,rent,< 100 DM,< 0 DM,3114,18,furniture/equipment,bad
24,male,skilled,own,500 <= ... < 1000 DM,no checking account,2569,39,car (used),good
25,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,5152,24,radio/television,good
39,male,unskilled and resident,own,100 <= ... < 500 DM,0 <= ... < 200 DM,1037,12,business,good
44,male,skilled,own,< 100 DM,< 0 DM,1478,15,furniture/equipment,good
23,female,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,3573,12,radio/television,good
26,male,skilled,own,< 100 DM,0 <= ... < 200 DM,1201,24,car (new),good
57,female,skilled,rent,>= 1000 DM,< 0 DM,3622,30,furniture/equipment,good
30,female,skilled,own,>= 1000 DM,no checking account,960,15,furniture/equipment,good
44,male,skilled,own,500 <= ... < 1000 DM,no checking account,1163,12,car (new),good
47,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,1209,6,car (new),bad
52,male,skilled,own,< 100 DM,no checking account,3077,12,radio/television,good
62,female,skilled,free,< 100 DM,no checking account,3757,24,car (new),good
35,male,unskilled and resident,rent,100 <= ... < 500 DM,no checking account,1418,10,car (new),good
26,male,skilled,rent,< 100 DM,no checking account,3518,6,car (new),good
26,male,skilled,own,< 100 DM,no checking account,1934,12,radio/television,good
42,female,highly qualified,free,< 100 DM,0 <= ... < 200 DM,8318,27,business,bad
27,female,skilled,own,100 <= ... < 500 DM,no checking account,1237,6,radio/television,good
38,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,368,6,radio/television,good
39,male,unskilled and resident,rent,< 100 DM,< 0 DM,2122,12,car (new),good
20,male,skilled,own,unknown/ no savings account,< 0 DM,2996,24,furniture/equipment,bad
29,male,highly qualified,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,9034,36,furniture/equipment,bad
40,male,skilled,own,< 100 DM,no checking account,1585,24,furniture/equipment,good
32,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1301,18,radio/television,good
28,male,skilled,own,100 <= ... < 500 DM,>= 200 DM / salary assignments for at least 1 year,1323,6,car (new),good
27,female,skilled,own,< 100 DM,< 0 DM,3123,24,car (new),bad
42,male,skilled,free,< 100 DM,< 0 DM,5493,36,car (used),good
49,male,skilled,own,100 <= ... < 500 DM,>= 200 DM / salary assignments for at least 1 year,1126,9,radio/television,good
38,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,1216,24,radio/television,bad
24,female,skilled,rent,< 100 DM,< 0 DM,1207,24,car (new),bad
27,male,unskilled and resident,own,unknown/ no savings account,no checking account,1309,10,car (new),bad
36,male,skilled,own,500 <= ... < 1000 DM,>= 200 DM / salary assignments for at least 1 year,2360,15,car (used),good
34,male,highly qualified,own,100 <= ... < 500 DM,0 <= ... < 200 DM,6850,15,car (new),bad
28,male,skilled,own,< 100 DM,no checking account,1413,24,radio/television,good
45,male,highly qualified,own,100 <= ... < 500 DM,no checking account,8588,39,car (used),good
26,male,skilled,own,< 100 DM,< 0 DM,759,12,car (new),bad
32,male,highly qualified,free,< 100 DM,no checking account,4686,36,car (used),good
26,male,skilled,rent,< 100 DM,>= 200 DM / salary assignments for at least 1 year,2687,15,business,good
20,male,skilled,rent,< 100 DM,0 <= ... < 200 DM,585,12,radio/television,good
54,male,skilled,own,unknown/ no savings account,no checking account,2255,24,car (new),good
37,female,skilled,own,< 100 DM,< 0 DM,609,6,car (new),good
40,male,unskilled and resident,own,< 100 DM,< 0 DM,1361,6,car (new),good
23,female,skilled,rent,< 100 DM,no checking account,7127,36,furniture/equipment,bad
43,male,skilled,own,100 <= ... < 500 DM,< 0 DM,1203,6,car (new),good
36,male,skilled,free,unknown/ no savings account,no checking account,700,6,radio/television,good
44,male,skilled,free,< 100 DM,no checking account,5507,24,repairs,good
24,female,skilled,own,< 100 DM,< 0 DM,3190,18,radio/television,bad
53,male,skilled,free,< 100 DM,< 0 DM,7119,48,furniture/equipment,bad
23,female,skilled,own,100 <= ... < 500 DM,no checking account,3488,24,car (used),good
26,female,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1113,18,radio/television,good
30,male,skilled,own,< 100 DM,0 <= ... < 200 DM,7966,26,car (used),good
31,female,skilled,own,100 <= ... < 500 DM,no checking account,1532,15,education,good
42,male,unskilled and resident,own,< 100 DM,no checking account,1503,4,radio/television,good
31,male,skilled,rent,< 100 DM,< 0 DM,2302,36,radio/television,bad
41,male,unskilled and resident,own,< 100 DM,< 0 DM,662,6,car (new),good
32,male,skilled,own,< 100 DM,0 <= ... < 200 DM,2273,36,education,good
28,female,skilled,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,2631,15,car (new),bad
41,male,skilled,rent,< 100 DM,no checking account,1503,12,car (used),good
26,male,skilled,own,100 <= ... < 500 DM,no checking account,1311,24,radio/television,good
25,male,skilled,own,unknown/ no savings account,no checking account,3105,24,radio/television,good
33,male,skilled,rent,< 100 DM,>= 200 DM / salary assignments for at least 1 year,2319,21,education,bad
75,female,highly qualified,own,unknown/ no savings account,< 0 DM,1374,6,car (new),good
37,female,skilled,own,< 100 DM,0 <= ... < 200 DM,3612,18,furniture/equipment,good
42,male,highly qualified,free,< 100 DM,< 0 DM,7763,48,car (new),bad
45,female,unskilled and resident,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,3049,18,furniture/equipment,good
23,male,skilled,rent,< 100 DM,0 <= ... < 200 DM,1534,12,radio/television,bad
60,male,skilled,free,< 100 DM,no checking account,2032,24,car (new),good
31,male,skilled,own,unknown/ no savings account,< 0 DM,6350,30,furniture/equipment,bad
34,male,unskilled and resident,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,2864,18,furniture/equipment,bad
61,male,unskilled and resident,own,< 100 DM,no checking account,1255,12,car (new),good
43,male,skilled,free,< 100 DM,< 0 DM,1333,24,car (new),bad
37,female,skilled,own,< 100 DM,no checking account,2022,24,car (new),good
32,male,skilled,own,< 100 DM,no checking account,1552,24,radio/television,good
24,female,unskilled and resident,own,< 100 DM,< 0 DM,626,12,radio/television,bad
35,male,skilled,free,unknown/ no savings account,no checking account,8858,48,car (used),good
23,female,skilled,own,unknown/ no savings account,no checking account,996,12,repairs,good
45,male,unskilled and resident,own,500 <= ... < 1000 DM,no checking account,1750,6,radio/television,good
34,male,skilled,own,< 100 DM,< 0 DM,6999,48,radio/television,bad
27,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,1995,12,car (new),good
67,female,highly qualified,own,< 100 DM,0 <= ... < 200 DM,1199,9,education,good
22,male,skilled,own,< 100 DM,0 <= ... < 200 DM,1331,12,radio/television,bad
28,female,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,2278,18,car (new),bad
29,female,skilled,own,unknown/ no savings account,no checking account,5003,21,car (new),bad
27,male,skilled,own,< 100 DM,< 0 DM,3552,24,furniture/equipment,bad
31,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1928,18,furniture/equipment,bad
49,male,skilled,free,unknown/ no savings account,< 0 DM,2964,24,car (used),good
24,male,unskilled and resident,rent,< 100 DM,< 0 DM,1546,24,radio/television,bad
29,female,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,683,6,radio/television,good
37,male,skilled,free,unknown/ no savings account,0 <= ... < 200 DM,12389,36,car (new),bad
37,male,highly qualified,own,unknown/ no savings account,0 <= ... < 200 DM,4712,24,business,good
23,female,skilled,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,1553,24,radio/television,good
36,male,skilled,own,< 100 DM,< 0 DM,1372,12,car (new),bad
34,male,skilled,own,>= 1000 DM,no checking account,2578,24,radio/television,good
41,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,3979,48,radio/television,good
31,female,skilled,own,< 100 DM,< 0 DM,6758,48,radio/television,bad
23,female,unskilled and resident,rent,< 100 DM,< 0 DM,3234,24,furniture/equipment,bad
38,male,skilled,own,< 100 DM,no checking account,5954,30,radio/television,good
26,female,highly qualified,rent,unknown/ no savings account,no checking account,5433,24,car (used),good
22,female,unskilled and resident,own,< 100 DM,< 0 DM,806,15,business,good
27,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1082,9,radio/television,good
24,female,skilled,own,< 100 DM,no checking account,2788,15,furniture/equipment,good
27,female,skilled,own,< 100 DM,0 <= ... < 200 DM,2930,12,radio/television,good
33,female,skilled,own,unknown/ no savings account,no checking account,1927,24,education,good
27,male,skilled,own,< 100 DM,0 <= ... < 200 DM,2820,36,car (new),bad
27,male,unskilled and resident,own,< 100 DM,no checking account,937,24,retraining,good
30,male,skilled,own,< 100 DM,0 <= ... < 200 DM,1056,18,car (new),bad
49,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,3124,12,car (new),good
26,female,skilled,rent,< 100 DM,no checking account,1388,9,furniture/equipment,good
33,male,unskilled and resident,rent,< 100 DM,0 <= ... < 200 DM,2384,36,repairs,bad
52,female,highly qualified,free,unknown/ no savings account,no checking account,2133,12,car (new),good
20,female,skilled,rent,< 100 DM,< 0 DM,2039,18,furniture/equipment,bad
36,male,skilled,rent,< 100 DM,< 0 DM,2799,9,car (new),good
21,male,unskilled and resident,own,< 100 DM,< 0 DM,1289,12,furniture/equipment,good
47,male,unskilled and resident,own,< 100 DM,< 0 DM,1217,18,domestic appliances,bad
60,male,skilled,own,< 100 DM,< 0 DM,2246,12,furniture/equipment,bad
58,female,unskilled and resident,own,< 100 DM,< 0 DM,385,12,radio/television,good
42,female,skilled,rent,unknown/ no savings account,0 <= ... < 200 DM,1965,24,car (new),good
36,female,unskilled and resident,own,>= 1000 DM,no checking account,1572,21,business,good
20,female,unskilled and resident,rent,< 100 DM,0 <= ... < 200 DM,2718,24,car (new),bad
40,male,highly qualified,own,unknown/ no savings account,< 0 DM,1358,24,others,bad
32,female,unskilled and resident,own,100 <= ... < 500 DM,0 <= ... < 200 DM,931,6,car (new),bad
23,female,skilled,rent,< 100 DM,< 0 DM,1442,24,car (new),bad
36,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,4241,24,business,bad
31,male,skilled,own,< 100 DM,no checking account,2775,18,car (new),bad
32,male,skilled,free,< 100 DM,no checking account,3863,24,business,good
45,female,skilled,own,< 100 DM,0 <= ... < 200 DM,2329,7,radio/television,good
30,female,skilled,own,< 100 DM,0 <= ... < 200 DM,918,9,furniture/equipment,bad
34,female,unskilled and resident,free,< 100 DM,0 <= ... < 200 DM,1837,24,education,bad
28,female,highly qualified,own,< 100 DM,no checking account,3349,36,furniture/equipment,bad
23,female,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1275,10,furniture/equipment,good
22,male,skilled,own,500 <= ... < 1000 DM,< 0 DM,2828,24,furniture/equipment,good
74,male,highly qualified,own,< 100 DM,no checking account,4526,24,business,good
50,female,skilled,free,100 <= ... < 500 DM,0 <= ... < 200 DM,2671,36,radio/television,bad
33,male,skilled,own,< 100 DM,no checking account,2051,18,radio/television,good
45,male,skilled,free,unknown/ no savings account,no checking account,1300,15,car (used),good
22,female,skilled,own,100 <= ... < 500 DM,< 0 DM,741,12,domestic appliances,bad
48,female,unskilled and resident,free,100 <= ... < 500 DM,>= 200 DM / salary assignments for at least 1 year,1240,10,car (new),bad
29,female,skilled,own,>= 1000 DM,< 0 DM,3357,21,radio/television,good
22,female,skilled,rent,< 100 DM,< 0 DM,3632,24,car (used),good
22,female,skilled,own,< 100 DM,no checking account,1808,18,furniture/equipment,bad
48,male,highly qualified,own,unknown/ no savings account,0 <= ... < 200 DM,12204,48,business,good
27,male,highly qualified,free,unknown/ no savings account,0 <= ... < 200 DM,9157,60,radio/television,good
37,male,skilled,rent,< 100 DM,< 0 DM,3676,6,car (new),good
21,female,skilled,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,3441,30,furniture/equipment,bad
49,male,unskilled and resident,own,< 100 DM,no checking account,640,12,car (new),good
27,male,skilled,own,< 100 DM,0 <= ... < 200 DM,3652,21,business,good
32,male,skilled,own,< 100 DM,no checking account,1530,18,car (new),bad
38,male,skilled,own,unknown/ no savings account,no checking account,3914,48,business,bad
22,female,skilled,rent,< 100 DM,< 0 DM,1858,12,furniture/equipment,good
65,male,skilled,free,< 100 DM,< 0 DM,2600,18,radio/television,bad
35,male,skilled,own,unknown/ no savings account,no checking account,1979,15,radio/television,good
41,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,2116,6,furniture/equipment,good
29,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,1437,9,car (new),bad
36,male,skilled,own,500 <= ... < 1000 DM,no checking account,4042,42,furniture/equipment,good
64,male,unskilled and resident,own,unknown/ no savings account,no checking account,3832,9,education,good
28,female,skilled,own,< 100 DM,< 0 DM,3660,24,radio/television,good
44,male,skilled,own,< 100 DM,< 0 DM,1553,18,furniture/equipment,bad
23,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,1444,15,radio/television,good
19,female,skilled,rent,< 100 DM,no checking account,1980,9,furniture/equipment,bad
25,female,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1355,24,car (new),bad
47,male,skilled,own,< 100 DM,no checking account,1393,12,education,good
28,female,skilled,own,500 <= ... < 1000 DM,no checking account,1376,24,radio/television,good
21,male,skilled,own,< 100 DM,no checking account,15653,60,radio/television,good
34,female,skilled,own,< 100 DM,no checking account,1493,12,radio/television,good
26,male,skilled,own,< 100 DM,< 0 DM,4370,42,radio/television,bad
27,female,unskilled and non-resident,own,< 100 DM,< 0 DM,750,18,education,bad
38,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1308,15,repairs,good
40,male,highly qualified,own,100 <= ... < 500 DM,no checking account,4623,15,education,bad
33,male,skilled,own,< 100 DM,no checking account,1851,24,radio/television,good
32,male,highly qualified,own,< 100 DM,< 0 DM,1880,18,radio/television,good
27,male,skilled,rent,unknown/ no savings account,no checking account,7980,36,business,bad
32,male,skilled,own,< 100 DM,< 0 DM,4583,30,furniture/equipment,good
26,female,skilled,own,500 <= ... < 1000 DM,no checking account,1386,12,car (new),bad
38,male,skilled,free,< 100 DM,>= 200 DM / salary assignments for at least 1 year,947,24,car (new),bad
40,male,unskilled and resident,rent,< 100 DM,< 0 DM,684,12,education,bad
50,male,highly qualified,free,< 100 DM,< 0 DM,7476,48,education,good
37,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1922,12,furniture/equipment,bad
45,male,skilled,own,< 100 DM,< 0 DM,2303,24,car (new),bad
42,male,highly qualified,own,100 <= ... < 500 DM,0 <= ... < 200 DM,8086,36,car (new),bad
35,male,skilled,own,< 100 DM,no checking account,2346,24,car (used),good
22,male,skilled,free,< 100 DM,< 0 DM,3973,14,car (new),good
41,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,888,12,car (new),bad
37,male,skilled,own,unknown/ no savings account,no checking account,10222,48,radio/television,good
28,female,skilled,own,< 100 DM,0 <= ... < 200 DM,4221,30,business,good
41,male,skilled,own,< 100 DM,0 <= ... < 200 DM,6361,18,furniture/equipment,good
23,male,skilled,rent,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1297,12,radio/television,good
23,male,skilled,own,unknown/ no savings account,< 0 DM,900,12,car (new),bad
50,male,skilled,own,< 100 DM,no checking account,2241,21,furniture/equipment,good
35,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,1050,6,furniture/equipment,good
50,female,unskilled and resident,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1047,6,education,good
27,male,highly qualified,own,< 100 DM,no checking account,6314,24,others,good
34,male,skilled,own,>= 1000 DM,0 <= ... < 200 DM,3496,30,furniture/equipment,good
27,female,skilled,own,< 100 DM,no checking account,3609,48,business,good
43,male,skilled,rent,< 100 DM,< 0 DM,4843,12,car (new),bad
47,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,3017,30,radio/television,good
27,male,unskilled and resident,own,100 <= ... < 500 DM,no checking account,4139,24,business,good
31,male,skilled,own,100 <= ... < 500 DM,no checking account,5742,36,business,good
42,male,highly qualified,own,< 100 DM,no checking account,10366,60,car (new),good
24,male,skilled,own,500 <= ... < 1000 DM,no checking account,2080,6,car (new),good
41,male,unskilled and resident,own,500 <= ... < 1000 DM,no checking account,2580,21,business,bad
26,female,highly qualified,rent,< 100 DM,no checking account,4530,30,radio/television,good
33,male,skilled,own,< 100 DM,no checking account,5150,24,furniture/equipment,good
24,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,5595,72,radio/television,bad
64,male,unskilled and resident,rent,< 100 DM,< 0 DM,2384,24,radio/television,good
26,female,skilled,own,< 100 DM,no checking account,1453,18,radio/television,good
56,female,skilled,own,< 100 DM,no checking account,1538,6,education,good
37,male,skilled,free,unknown/ no savings account,no checking account,2279,12,radio/television,good
